LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2021
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"420420 Chapecó";-;-;-;-;-;-;-;-;-;-;1;-;1
"420450 Corupá";-;-;-;-;-;-;-;-;-;-;-;1;1
"420460 Criciúma";-;-;-;-;-;-;-;-;1;2;-;-;3
"420535 Flor do Sertão";-;-;-;1;1;-;-;-;-;-;-;-;2
"420540 Florianópolis";1;4;1;2;-;3;-;1;1;2;1;1;17
"420545 Forquilhinha";-;-;-;-;-;-;-;-;-;-;1;-;1
"420580 Garuva";-;-;-;1;-;-;-;-;-;-;-;-;1
"420590 Gaspar";1;-;-;-;-;-;-;-;-;-;-;-;1
"420610 Grão Pará";-;-;-;-;-;-;-;-;-;1;-;-;1
"420650 Guaramirim";-;-;-;-;1;-;-;-;-;1;-;1;3
"420680 Ibicaré";-;-;-;-;-;-;1;-;-;-;-;-;1
"420750 Indaial";1;1;-;-;-;-;-;-;-;-;-;-;2
"420780 Irani";1;-;-;-;-;-;-;-;-;-;-;-;1
